"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2.768382663","","","4.506179098","15.44282295","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.66122693","93.54245387","97.17","",
"Afghanistan","AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","0.004722568","0.004561395","0.087891253","0.10580903","1.224148084","2.107123645","1.9","1.84","3.55","4","5","5.454545455","5.9","7","8.26","10.59572642","11.44768809","",
"Angola","AGO","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000775929","0.005673746","0.018453724","0.071964087","0.105045562","0.136013867","0.270376746","0.370682065","0.464814618","1.143366827","1.5","1.7","1.9","2.3","2.8","3.1","6.5","8.9","10.2","12.4","13","14.33907936","",
"Albania","ALB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.011168695","0.032196828","0.048593919","0.06502737","0.081437045","0.114097347","0.325798377","0.390081273","0.971900415","2.420387798","6.043890864","9.609991316","15.03611541","23.86","41.2","45","49","54.65595904","57.2","60.1","63.2529327","66.3634447","71.8470405","",
"Andorra","AND","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","1.526601023","3.050175385","6.886209218","7.635686143","10.53883561","","11.26046872","13.54641288","26.83795439","37.60576622","48.936847","70.87","70.04","78.53","81","81","86.43442462","94","95.9","96.91","97.93063712","98.87143552","",
"Arab World","ARB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.0176735802451909","0.0391510684922052","0.135566651025647","0.270071044618296","0.616816391105755","1.17398674406919","1.60744788496847","2.76778588294538","3.74803690276815","7.2346368903254","8.63494676647528","11.6637886737172","14.3152138911936","18.4959056790799","21.4263493058283","24.7759406944671","26.5827639496451","30.1782328189301","32.9280383552986","36.4579583652404","39.9293582935034","42.6794318092335","48.8476206991203","",
"United Arab Emirates","ARE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.102939175","0.375393534","3.295592694","6.908302986","14.94269899","23.62530088","26.2717542","28.31648531","29.47795341","30.13129617","40","52","61","63","64","68","78","84.9999915","88","90.4","90.5","90.60000732","94.81992254","",
"Argentina","ARG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.038683086","9.780807285","10.88212438","11.91369655","16.03668411","17.72058337","20.9272021","25.94663294","28.11262348","34","45","51","55.8","59.9","64.7","68.04306411","70.96898082","75.80974423","",
"Armenia","ARM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.009117014","0.052743123","0.094572902","0.111650935","0.128659478","0.970737757","1.300470022","1.631094667","1.960405046","4.575217225","4.899008571","5.252983352","5.631787777","6.021253397","6.21","15.3","25","32","37.5","41.9","54.62280586","59.10237771","64.34602977","69.71812489","",
"American Samoa","ASM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","2.200768802","2.858449577","3.480536838","4.0717165","5.300681138","6.482225737","8.899285515","12.5","17.22864878","24.26654372","27","30","34","38","42","47","52","58","63.4","67.78","70","73","76","",
"Australia","AUS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.585094712","1.097203891","1.768764913","1.974611016","2.232101254","2.759654513","3.27524987","16.36935838","30.81323944","40.7837839","46.75611561","52.68926643","","","","63","66","69.45","71.67","74.25","76","79.48769771","79","83.45349717","84","84.56051935","86.54","86.54472054","",
"Austria","AUT","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130369377","0.259081553","0.642817619","0.76534273","1.393422968","1.890210524","6.909162353","9.533974317","15.42121932","23.0443171","33.73013295","39.18545018","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","78.7399931","80.02999392","80.6188","80.99582496","83.94014193","84.32333129","87.93558659","",
"Azerbaijan","AZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.001431415","0.002055556","0.006354585","0.025187933","0.037485109","0.099228942","0.147757576","0.305564638","4.999713678","","","8.030375356","11.99217733","14.54","17.08","27.4","46","50","54.2","73.00000137","75.00001564","77","78.2","79","",
"Burundi","BDI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000803592","0.007979439","0.015842776","0.039204469","0.077248447","0.106001245","0.118228412","0.201273197","0.349060462","0.542142866","0.65759259","0.7","0.81","0.9","1","1.11","1.219999945","1.264218111","1.38","4.866224464","5.173626777","5.594670768","",
"Belgium","BEL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00100674","0.020072645","0.100041027","0.199446059","0.69599469","0.99166299","2.968411647","4.93808091","7.886622701","13.77221446","29.43169169","31.28839551","46.33","49.97","53.86","55.82","59.72","64.44","66","70","75","81.609996","80.71999055","82.1702","85","85.0529","86.5165","87.67968082","",
"Benin","BEN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0016931","0.024648796","0.047877304","0.154906741","0.225247851","0.36341789","0.702945595","0.951327115","1.182540965","1.271031439","1.537854346","1.79","1.85","2.24","3.13","4.148323066","4.5","4.9","6","11.25498791","11.99404791","14.11901233","",
"Burkina Faso","BFA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000960519","0.018686353","0.045423484","0.061780293","0.077080169","0.157732465","0.200992598","0.373440303","0.400295285","0.469914489","0.632707564","0.75","0.92","1.13","2.4","3","3.725034916","9.1","9.4","11.38764617","13.96","15.87620691","",
"Bangladesh","BGD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.000751046","0.003684813","0.036170407","0.071039423","0.129807974","0.139920289","0.163877665","0.199036334","0.241637326","1","1.8","2.5","3.1","3.7","4.5","5","6.63","13.9","14.4","18.02","18.02","",
"Bulgaria","BGR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.002339042","0.019526669","0.119665549","0.725251167","1.219813132","1.844965121","2.908154025","5.370923469","7.612297749","9.08","12.04","18.13","19.97","27.09","33.64","39.67","45","46.23","47.97999305","51.89998767","53.0615","55.49","56.6563","59.82554766","63.41010138","",
"Bahrain","BHR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.346205844","0.843254219","1.646299202","3.218202151","4.720358118","6.153732546","15.03863425","18.05072089","21.55494499","21.45868051","21.30373351","28.24395243","32.91","51.95","53","55","76.9999665","88","90.0000397","90.50313348","93.47830114","95","95.87813575","",
"Bahamas, The","BHS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.960030721","1.746950698","1.362953903","2.33559071","3.764557822","8","11.8","18","20","22","25","26","27","31.54","33.88","43","65","71.74820281","72","76.92","78","80","85","",
"Bosnia and Herzegovina","BIH","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.015125563","0.059425563","0.14367106","0.1943742","1.08296075","1.200526951","2.648267914","3.965036834","15.46897162","21.326701","25.12238569","27.92","34.66","37.74","42.75","43.88768653","45.06450043","48.52131417","49.91773243","52.6","60.26","69.49115242","",
"Belarus","BLR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.000485951","0.002921254","0.029298294","0.049020891","0.073868897","0.494881245","1.860398126","4.300616022","8.950971315","","","","16.2","19.7","23","27.43","31.8","39.64889566","46.91","54.17","59.02","67.3","71.11304576","74.43644541","",
"Belize","BLZ","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.04539718","0.882807327","1.288582302","2.091516391","4.076740564","5.963835303","","5.684251214","","9.8","17","24","24.6","26.3","27.2","28.2","30.7","31","33.6","38.7","41.59","44.57574032","47.0826258","",
"Bermuda","BMU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","6.838163465","16.20246602","24.18925674","32.10375935","39.94758876","42.94986002","47.5096999","52.03159737","56.52201218","60.99086701","65.44706579","69.89965516","74.35059403","82.3","83.25","84.21","88.336","91.29930452","95.3","96.8","98.32360965","98","98.37","",
"Bolivia","BOL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.066807568","0.196081174","0.447839036","0.626484062","0.981815187","1.442763585","2.120462534","3.117192947","3.508596401","4.439924601","5.227583957","6.200671255","10.49924432","12.5","16.8","22.4","30","35.34","36.99","34.6","35.56227065","39.6975146","43.83227607","",
"Brazil","BRA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.003288171","0.012946262","0.025498253","0.037672709","0.105138168","0.450789179","0.786079155","1.477874959","2.038732184","2.870685159","4.528494869","9.149425086","13.2075861","19.07367227","21.02274725","28.17838018","30.88","33.83","39.22","40.65","45.69","48.56","51.04","54.55100188","58.32795173","60.87254007","67.47","",
"Barbados","BRB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.007752238","0.389464214","0.783428912","1.970249237","2.376247035","3.973678355","11.93645034","27.83632242","39.68962712","49.8","52.5","55.3","58.2","61.4","64.7","65.1","66.5","71.2","71.8","75.16","76.11","79.54939789","81.76077839","",
"Brunei Darussalam","BRN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","1.017080166","3.303349927","4.831057905","6.284742844","7.671041206","8.996284534","12.91776908","15.32987986","19.59500322","29.71560414","36.46639195","42.18634916","44.68","46","49","53","56","60.27306504","64.5","68.77","71.2","90","94.86669164","",
"Bhutan","BTN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0.137571514","0.400944447","0.864628564","1.675802584","2.436912399","3.156984196","3.847106745","4.518317258","5.92","6.55","7.17","13.6","14.4","15.6","22.4","30.3","39.8","41.77264453","48.10641588","",
"Botswana","BWA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0.064521041","0.15745423","0.30774685","0.602400929","1.122391474","2.902666622","3.430886787","3.385922351","3.345190174","3.304889253","3.262554036","4.289932975","5.28","6.25","6.15","6","9","16","30","36.74474744","37.31205037","39.36299738","41.41379464","",
"Central African Republic","CAF","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.005849503","0.014270881","0.027878201","0.040894287","0.053394174","0.078543428","0.128537117","0.151563338","0.223401395","0.268195609","0.311159173","0.375815961","1","1.8","2","2.2","3","3.4","3.6","3.8","4","4.339254945","",
"Canada","CAN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.360999701","0.570385926","0.91598104","1.184557509","2.378693853","4.163525253","6.76023965","15.07235736","24.8974003","36.18644004","51.3","60.2","61.59329927","64.2","65.95596346","71.66","72.4","73.2","76.7","80.3","80.3","83","83","85.8","87.12","88.47","91.16","92.70137191","",
"Central Europe and the Baltics","CEB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.148652394942145","0.389284601502609","0.622021433571706","1.06882929238937","1.79199695134948","3.51530243340215","4.9675218173478","7.05416929275156","10.2393218026952","18.2553190537072","22.5921245778324","29.2447368560949","34.7495541297388","40.7996109435207","45.284274473314","50.6885905652787","55.1028333732934","58.5992965115256","59.122246476774","61.7286949249523","63.4756186303987","66.4950362489627","67.344347593522","71.3504111090356","73.4357593826207","",
"Switzerland","CHE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.595714223","1.17995597","1.751713322","2.167270203","2.720004329","3.552007211","4.549656748","15.1","24.8","34","47.1","55.1","61.4","65.1","67.8","70.1","75.7","77.2","79.2","81.3","83.9","85.19302818","85.2","86.34","87.4","87.4790556","89.13468774","93.71386591","",
"Channel Islands","CHI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.036548938","0.071783144","0.141084507","0.346980781","0.68347561","1.057092496","1.662322022","4.103419297","16.6","19.1","22.1","25.47377889","28.17791012","31.17534703","34.49775117","35.9","37.3","41.56","45","52.24960729","55.05","58","61.11","76.63","82.32748693","82.32748693","",
"China","CHN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.00016868","0.001168115","0.00495471","0.013081692","0.032394861","0.168540297","0.708187957","1.775913207","2.639650215","4.595704331","6.2","7.3","8.523257003","10.52315262","16","22.6","28.9","34.3","38.3","42.30011749","45.8","47.9","50.3","53.2","54.3","",
"Cote d'Ivoire","CIV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.000200256","0.00840978","0.018828361","0.060974439","0.118685917","0.231461671","0.395747702","0.497929361","0.758669629","0.849282415","1.039238205","1.524900791","1.8","1.9","2","2.7","2.9","5","12","19.2742298","38.44","41.21","43.83992085","",
"Cameroon","CMR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.006768744","0.013216341","0.129067581","0.252120078","0.277051322","0.360871584","0.587622611","0.976075415","1.402654226","2.028744791","2.93","3.4","3.84","4.3","5","7.5","10","16.21487223","20.68014766","23.20297197","23.20297197","",
"Congo, Dem. Rep.","COD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000108207","0.000211213","0.000413065","0.001009076","0.005902114","0.011475782","0.092790702","0.134914837","0.196208375","0.238037799","0.29605361","0.37","0.44","0.56","0.72","1.2","1.679961015","2.2","3","3.799999507","6.20997406","8.619904916","",
"Congo, Rep.","COG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.00352686","0.003469104","0.003415143","0.016791049","0.026354732","0.032223616","0.157249517","0.460014187","1.07750493","1.46342006","2.007990079","2.759704374","4.287509903","4.5","5","5.6","6.106695024","6.6","7.11","7.615974662","8.121949323","8.65","",
